barcode	name	batch	condition	strain.int	Glucose.Avg.g.L..x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x	Xylose.Avg.g.L..x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x	Pyruvate.Avg.g.L..x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x	Xylitol.Avg.g.L..x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x	Succinate.Avg.g.L..x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x	Lactate.Avg.g.L..x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x	Glycerol.Avg.g.L..x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x	Formate.Avg.g.L..x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x	Acetate.Avg.g.L..x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x	Ethanol.Avg.g.L..x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x	Cellobiose.Avg.g.L..x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x	Glucose_consumed.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x	Percent_glucose_consumed.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x	Percent_yield.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x	Blank_glucose.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x
89	I0035723	NA-t-42	NA	t	42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
90	I0035726	20190924-t-57	20190924	t	57	14.9667181344	0	0	0	0	0.1280541248	0.3059404771	0.7266907999	0.23460602004	0.5121528188	0	5.7225229696	27.6594145760795	17.4975055235638	20.689241104
91	I0035728	20200106-f-7	20200106	f	7	20.7354899776	0	0	0	0	0.1274613984	0.3467971265	0	0	0.0555392278	0	2.3790740544	10.2925326694736	4.56410884521863	23.114564032
92	I0035733	20190916-f-47	20190916	f	47	0	0.224949287233333	0	0	0.0305849163666667	0.145716410666667	0.345856273666667	0	2.84055468446667	1.07214226853333	0	22.4698008181333	100	9.32861805524242	22.4698008181333
93	I0035739	20190924-t-83	20190924	t	83	14.8774182272	0	0	0	0	0.1294620752	0.2930570861	0.7193536179	0	0.0620553686	0	5.8118228768	28.0910394324534	2.08752221567139	20.689241104
94	I0035742	20190916-f-59	20190916	f	59	2.7113611584	0	0	0	0	0.1308060688	0.474027135666667	0.4871253634	2.592548235	0.159946593833333	0	19.7584396597333	87.933310222261	1.58265577726308	22.4698008181333
95	I0035746	20191014-t-96	20191014	t	96	19.1059788096	0	0	0	0	0	0.1037937181	0	0	0	0	2.9043539552	13.1954113835334	0	22.0103327648
96	I0035748	NA-f-43	NA	f	43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
97	I0035752	20190930-t-99	20190930	t	99	0	0.242415911866667	0	0	0	0.1633654848	0.316456541166667	0	0.532849860093333	5.51000317403333	0	22.2496314858667	100	48.4164723405689	22.2496314858667
98	I0035758	20200117-f-31	20200117	f	31	0	0.2404557145	0	0	0	0.1280325056	0.2949762417	0.8040340883	0.06536229844	8.2239322043	0	23.4065151136	100	68.6921136105726	23.4065151136
