"barcode"	"name"	"batch"	"condition"	"strain.int"	"Glucose.Avg.g.L."	"Xylose.Avg.g.L."	"Pyruvate.Avg.g.L."	"Xylitol.Avg.g.L."	"Succinate.Avg.g.L."	"Lactate.Avg.g.L."	"Glycerol.Avg.g.L."	"Formate.Avg.g.L."	"Acetate.Avg.g.L."	"Ethanol.Avg.g.L."	"Cellobiose.Avg.g.L."	"Glucose_consumed"	"Percent_glucose_consumed"	"Percent_yield"	"Blank_glucose"
"291"	"I0040583"	"20200106-f-6"	20200106	"f"	6	18.955074992	0	0	0	0	0.1274397792	0.3224512932	0	0	0.0603586105	0	4.15948904	17.9951005532337	2.83702632484747	23.114564032
"618"	"I0043990"	"20191224-f-305"	20191224	"f"	305	18.0505943232	0	0	0	0	0.1273533024	0.3044163876	0.7233761796	0	0.0570125464	0	4.269512752	19.1285495970756	2.61069561778387	22.3201070752
"451"	"I0043430"	"NA-f-323"	NA	"f"	323	18.6466392704	0	0	0	0	0.12856668	0.4301072659	0	0	0.1030443083	0	4.8906611936	20.7783437233178	4.1192727340573	23.537300464
"447"	"I0042885"	"20191216-f-289"	20191216	"f"	289	18.5916328192	0	0	0	0	0	0.6318534334	0	0.04047584288	1.5957238258	0	4.9678075072	21.0862713136408	62.7996302361015	23.5594403264
"204"	"I0037438"	"20190924-t-64"	20190924	"t"	64	16.2766687008	0	0	0	0	0	0.5343218353	0	0.02558553652	0.4087440968	0	4.4125724032	21.3278601231385	18.1102216429817	20.689241104
"333"	"I0040659"	"20200106-t-18"	20200106	"t"	18	18.1748975168	0	0	0	0	0.1309691136	0.457512329	0	0	0.0673087307	0	4.9396665152	21.3703641927292	2.66402249237179	23.114564032
"227"	"I0037528"	"20191007-f-114"	20191007	"f"	114	17.3522040832	0.0003693198	0	0	0	0	0	0	0.64225642396	1.445326468	0	4.7414094432	21.4605430548263	59.5967548240933	22.0936135264
"382"	"I0040738"	"20200106-t-17"	20200106	"t"	17	18.080704464	0	0	0	0	0.1274803152	0.293223769	0	0	0.8265156101	0	5.033859568	21.7778694031654	32.1006688297336	23.114564032
"579"	"I0043911"	"20191119-f-236"	20191119	"f"	236	9.06398472	0	0	0	0	0.1285702832	0.5254240995	0	0	0.9733941413	0	2.5965992384	22.2681749701692	73.2905395840537	11.6605839584
"296"	"I0040592"	"20191021-f-153"	20191021	"f"	153	8.8893808544	0	0	0	0	0.1276893008	0.3619302762	0.7189881397	0	0.0480394925	0	2.6870900032	23.211650910311	3.49526665690405	11.5764708576
"332"	"I0040658"	"20200106-f-18"	20200106	"f"	18	17.7378725952	0	0	0	0	0	0.3931331309	0	0	0.0550504251	0	5.3766914368	23.2610549321045	2.0017492755548	23.114564032
"22"	"I0035396"	"20200106-t-1"	20200106	"t"	1	17.6165420416	0	0	0	0	0.1354830224	0.5136421049	0	0	0.2144807278	0	5.4980219904	23.7859644801801	7.62686253143472	23.114564032
"427"	"I0041092"	"20191028-t-174"	20191028	"t"	174	9.2335549152	0	0	0	0	0.1281108752	0.2926684663	0.7221987322	0	0.1013917774	0	2.9645364032	24.3032809463247	6.68667268972092	12.1980913184
"167"	"I0037215"	"20190924-t-69"	20190924	"t"	69	15.4844871648	0	0	0	0	0.1318122624	0.2937173714	0.7191197855	0.03491980248	0.8813241677	0	5.2047539392	25.1568141771702	33.1054574612406	20.689241104
"261"	"I0040535"	"20191105-f-204"	20191105	"f"	204	8.4649725376	0	0	0	0	0.1304754752	0.3103027804	0	0	0.0454733935	0	3.2226858656	27.5734090989317	2.75869385379313	11.6876584032
"90"	"I0035726"	"20190924-t-57"	20190924	"t"	57	14.9667181344	0	0	0	0	0.1280541248	0.3059404771	0.7266907999	0.23460602004	0.5121528188	0	5.7225229696	27.6594145760795	17.4975055235638	20.689241104
"10"	"I0035217"	"20191007-f-113"	20191007	"f"	113	15.9721100224	0	0	0	0	0	0	0	0	0	0	6.121503504	27.707117700259	0	22.0936135264
"93"	"I0035739"	"20190924-t-83"	20190924	"t"	83	14.8774182272	0	0	0	0	0.1294620752	0.2930570861	0.7193536179	0	0.0620553686	0	5.8118228768	28.0910394324534	2.08752221567139	20.689241104
"193"	"I0037374"	"20191007-t-113"	20191007	"t"	113	15.8794681472	0	0	0	0	0	0	0	0	0	0	6.2141453792	28.1264328796854	0	22.0936135264
"144"	"I0036997"	"20190924-f-81"	20190924	"f"	81	14.7930871328	0	0	0	0	0.1285765888	0.4253462129	0.7211616763	0	0.0444580107	0	5.8961539712	28.4986478796463	1.47416238831524	20.689241104
"452"	"I0043435"	"NA-t-322"	NA	"t"	322	16.7617332864	0	0	0	0	0.127954136	0.2932615259	0.7198249651	0	0.0467112944	0	6.7755671776	28.7865092599007	1.34784627586296	23.537300464
"237"	"I0037570"	"20190924-t-79"	20190924	"t"	79	14.6405618752	0	0.0054711678	0	0	0.1275199504	0.3149524045	0.7833100014	0.28589636196	0.5602927439	0	6.0486792288	29.2358680455929	18.1100046102533	20.689241104
"514"	"I0043799"	"20191119-t-236"	20191119	"t"	236	8.1334276928	0	0	0	0	0.1292008432	0.5649887262	0	0	1.3827417551	0	3.5271562656	30.2485388226129	76.6444113714437	11.6605839584
"109"	"I0035795"	"20191014-t-128"	20191014	"t"	128	15.2602600288	0.009698398	0	0	0	0	0.0483463291	0	0.01631503808	0.4237974693	0	6.750072736	30.6677450456135	12.2747886439781	22.0103327648
"185"	"I0037324"	"20190924-t-75"	20190924	"t"	75	14.0554238144	0	0.3466710856	0	0	0.1665723328	0	0.7328684862	0.15599070536	0.8914978058	0	6.6338172896	32.0640919415717	26.2736789772239	20.689241104
"199"	"I0037418"	"20190924-f-73"	20190924	"f"	73	13.9993526176	0	0	0	0	0.1300548016	0.293039589	0.7246880346	0.07490971324	0.1105389759	0	6.6898884864	32.3351081500355	3.2304325278565	20.689241104
"26"	"I0035439"	"20190924-t-78"	20190924	"t"	78	13.707266416	0	0	0	0	0.1290026672	0.3674805405	0.773860963	0	1.1057661509	0	6.981974688	33.7468863787862	30.9634352686161	20.689241104
"117"	"I0035812"	"20190924-t-66"	20190924	"t"	66	13.4124417824	0	1.1655419062	0	0	0.1916515056	0.5001085585	0	0	0.5145424697	0	7.2767993216	35.1719006271	13.824357144327	20.689241104
"14"	"I0035361"	"20190924-t-77"	20190924	"t"	77	13.3794707008	0	0	0	0	0.13070608	0.309017204	0.7200123072	0.52553352124	0.9961941843	0	7.3097704032	35.3312640442222	26.6443041374395	20.689241104
"112"	"I0035803"	"20190924-f-70"	20190924	"f"	70	13.3393760928	0	0	0	0	0.1465520528	0.3083569187	0.7395603276	0.0702003638	0.051331194	0	7.3498650112	35.525058528024	1.36541956031307	20.689241104
"150"	"I0037110"	"20190924-t-72"	20190924	"t"	72	13.3171893888	0	0	0	0	0.132633792	0.2924861281	0.7398024454	0.2187225936	1.2746228363	0	7.3720517152	35.6322964102086	33.8031706931396	20.689241104
"46"	"I0035571"	"20190930-f-98"	20190930	"f"	98	14.2835370016	0	0	0	0	0.0451117637333333	0.589193354833333	0	0.0382390593466667	0.332981828233333	0	7.96609448426667	35.8032648285742	8.17220395373489	22.2496314858667
"558"	"I0043883"	"20191119-f-248"	20191119	"f"	248	7.4601949952	0	0	0	0	0	0	0	0	0.0500776293	0	4.2003889632	36.0221150002881	2.33087169912239	11.6605839584
"662"	"I0044081"	"20191216-t-278"	20191216	"t"	278	15.0099187008	0	0	0	0	0	0.3648780771	0	0.0996633198	0.5339278043	0	8.5495216256	36.2891541868236	12.2096956558426	23.5594403264
"364"	"I0040714"	"20191028-f-166"	20191028	"f"	166	7.7320582368	0	0	0	0	0.1805545504	0.5051578532	0.9185843463	0.23311988256	0.1016493087	0	4.4660330816	36.612556546968	4.44986269088594	12.1980913184
"191"	"I0037357"	"20190924-t-63"	20190924	"t"	63	13.0421805536	0	0	0	0	0.1285378544	0.2964607325	0.7257062182	0	0.6364390827	0	7.6470605504	36.9615323827491	16.2714564672402	20.689241104
"162"	"I0037198"	"20190924-t-65"	20190924	"t"	65	13.0320681728	0	0	0	0	0	0.8438225118	0	0.2952583786	0.5127070409	0	7.6571729312	37.0104098681492	13.0907624681265	20.689241104
"669"	"I0044127"	"20191119-t-233"	20191119	"t"	233	7.3417920416	0	0	0	0.1771290955	0	0.2943804194	1.0422503855	0	0.0790137356	0	4.3187919168	37.0375268700745	3.57688050320688	11.6605839584
"151"	"I0037122"	"20200106-t-4"	20200106	"t"	4	14.5120069056	0.3236937917	0.4893062706	0	0	0.1273659136	0.5482191372	0	0	1.5367440904	0	8.6025571264	37.2170425299415	34.9251357557839	23.114564032
"11"	"I0035278"	"20190924-t-71"	20190924	"t"	71	12.953513008	0	0	0	0	0.1274731088	0.4720201876	0	0.0171404732	0.8132271793	0	7.735728096	37.3901007635529	20.5529802647407	20.689241104
"331"	"I0040657"	"20191028-t-173"	20191028	"t"	173	7.5105046752	0	0	0	0	0.1276739872	0.2924852072	0.7239607606	0.15419753908	0.3012835183	0	4.6875866432	38.4288535053766	12.5658011443019	12.1980913184
"179"	"I0037289"	"20190916-f-55"	20190916	"f"	55	13.8166319434667	0	0	0	0	0.130444848	0.299180764133333	0.7332519161	0	0.111849974533333	0	8.65316887466667	38.5102161995289	2.52711395858839	22.4698008181333
"187"	"I0037339"	"20200106-t-2"	20200106	"t"	2	14.1957108032	0	0	0	0	0	0.3514789821	0	0	0.0803769469	0	8.9188532288	38.5854269907607	1.76192170234446	23.114564032
"676"	"I0044162"	"20191216-t-288"	20191216	"t"	288	14.2952744256	0	0	0	0	0	0.9978651384	0	0	3.374862457	0	9.2641659008	39.32252113145	71.2219517139117	23.5594403264
"423"	"I0041045"	"20191112-f-216"	20191112	"f"	216	7.0552926016	0	0	0	0	0.1284874096	0.2984996051	0	0	0.0490244691	0	4.6227812896	39.585134780518	2.07335500259935	11.6780738912
"132"	"I0036638"	"20190924-t-60"	20190924	"t"	60	12.4412046272	0	0	0	0	0	0.5609008511	0.7354816093	0	2.169892393	0	8.2480364768	39.8663074945042	51.4341705821856	20.689241104
"522"	"I0043811"	"NA-t-317"	NA	"t"	317	14.0155147712	0	0	0	0	0.1274298704	0.5645605077	0.7194060921	0.04318596248	0.1634711024	0	9.5217856928	40.4540261843683	3.35650041581531	23.537300464
"432"	"I0041147"	"20200106-f-17"	20200106	"f"	17	13.59933256	0	0	0	0	0.1276505664	0.2990475406	0	0	1.4787590063	0	9.515231472	41.1655242938047	30.383805101025	23.114564032
